date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:35	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf45-15d9d%22	https://elanta.app/nazar/starbelly-demo/js/plugins/jquery.min.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/jquery.min.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:36	209283/209283	---M--	200	added ('OK')	image/png	etag:%2261acdf4e-33183%22	https://elanta.app/nazar/starbelly-demo/img/illustrations/cup.png	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/img/illustrations/cup.png	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:36	215360/215360	---M--	200	added ('OK')	image/png	etag:%2261acdf52-34940%22	https://elanta.app/nazar/starbelly-demo/img/illustrations/phones.png	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/img/illustrations/phones.png	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:36	23039/23039	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf45-59ff%22	https://elanta.app/nazar/starbelly-demo/js/plugins/smooth-scroll.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/smooth-scroll.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:37	19279/19279	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf44-4b4f%22	https://elanta.app/nazar/starbelly-demo/js/plugins/swup.min.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/swup.min.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:37	970369/970369	---M--	200	added ('OK')	image/png	etag:%2261acdf4b-ece81%22	https://elanta.app/nazar/starbelly-demo/img/illustrations/girl.png	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/img/illustrations/girl.png	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:38	48885/48885	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf46-bef5%22	https://elanta.app/nazar/starbelly-demo/js/plugins/datepicker.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/datepicker.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:38	124701/124701	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf44-1e71d%22	https://elanta.app/nazar/starbelly-demo/js/plugins/swiper.min.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/swiper.min.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:38	35446/35446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf44-8a76%22	https://elanta.app/nazar/starbelly-demo/js/plugins/isotope.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/isotope.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:38	13880/13880	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf44-3638%22	https://elanta.app/nazar/starbelly-demo/js/plugins/sticky.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/sticky.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:39	68254/68254	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf45-10a9e%22	https://elanta.app/nazar/starbelly-demo/js/plugins/fancybox.min.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/plugins/fancybox.min.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:39	18120/18120	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acdf1b-46c8%22	https://elanta.app/nazar/starbelly-demo/js/main.js	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/js/main.js	(from https://elanta.app/nazar/starbelly-demo/home-1.html)
23:06:41	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261acdf7a-1e988%22	https://elanta.app/nazar/starbelly-demo/fonts/webfonts/fa-brands-400.eot	C:/Users/User%20New/Downloads/Restaurnt/elanta.app/nazar/starbelly-demo/fonts/webfonts/fa-brands-400.eot	(from https://elanta.app/nazar/starbelly-demo/css/plugins/font-awesome.min.css)
